GeneID	ENSG
CXCL5	ENSG00000163735
DNMT3B	ENSG00000267801
DPPA2	ENSG00000163530
DPPA5	ENSG00000203909
FOXA2	ENSG00000125798
GDF3	ENSG00000184344
HESX1	ENSG00000163666
IDO1	ENSG00000131203
KLF4	ENSG00000136826
KLF5	ENSG00000102554
LCK	ENSG00000111537
LEFTY1	ENSG00000243709
LEFTY2	ENSG00000143768
MYC	ENSG00000136997
NANOG	ENSG00000111704
NODAL	ENSG00000156574
OTX2	ENSG00000165588
PODXL	ENSG00000128567
POU5F1	ENSG00000204531
SDC2	ENSG00000169439
SOX2	ENSG00000181449
TBX3	ENSG00000135111
TDGF1	ENSG00000241186
TFCP2L1	ENSG00000115112
TRIM22	ENSG00000132274
UTF1	ENSG00000171794
ZFP42	ENSG00000179059
